,fold0,fold1,fold3,average
nnUNet 2D/512x512,0.7467109655,0.7580196668,0.755058326,0.7532629861
nnUNet 2D/512x512 (LaW OCT),0.7481672513,0.7572902686,0.749515567,0.7516576956
nnUNet 3D/160x128x112,0.66924857,0.6048997993,0.7074629322,0.6605371005
nnUNet 3D/160x128x112 (LaW OCT),0.6822183533,0.7041218849,0.7259971758,0.7041124713
nnUNet 3D/128x128x32 (Genesis),0.5883364677,0.6150872707,0.6344194412,0.6126143932
nnUNet 3D/512x512x32,0.696773084,0.6818664813,0.7117971468,0.6968122374
nnUNet 3D/512x512x32 (LaW OCT),0.7426850087,0.7310614842,0.7461154677,0.7399539869
nnUNet 3D/160x128x32,0.720091698,0.7117224967,0.7364073776,0.7227405241
nnUNet 3D/160x128x32 (LaW OCT),0.7490614994,0.7337035679,0.7446609163,0.7424753279
nnUNet 3D/160x128x32 (CLIP),0.7517751003,0.7312851749,0.7488787376,0.7439796709
SwinUNETR,0.4546151161,0.4053555131,0.5184885263,0.4594863852
SwinUNET (SSL),0.5688593388,0.6059017181,0.6217594743,0.5988401771
SwinUNETR (SuPreM),0.6043584049,0.6251844168,0.6629029512,0.6308152576
RADIO,0.5431599114,0.55816263,0.5267538829,0.5426921414
SegFormer (ADE60K),0.6921171675,0.6905646241,0.6795004743,0.6873940886
ViT+BNLinear (V-JEPA VideoMix2M),0.6724624038,0.6332309246,0.6531256437,0.6529396574
ViT+Multifeat (V-JEPA VideoMix2M),0.6166266799,0.7075787187,0.6599727869,0.6613927285
ViT+Attentive(V-JEPA VideoMix2M),0.64405,0.6920622587,0.6489732862,0.6616951816
ViT+Attentive* (V-JEPA VideoMix2M),0.6479173899,0.7086197436,0.6602579653,0.6722650329
ViT+Attentive* (V-JEPA Unannotated OCT),0.3154920191,0.3094491065,0.3361098021,0.3203503092
ViT+Attentive* ,0.3375664353,0.2939809263,0.3159839809,0.3158437808
